edicion lolla ,artista ,genero musical 01,genero musical 02,genero musical 03,integrantes,nacionalidad,headliner,escenario,veces en lollapalooza
2011,The Killers,Rock alternativo,Post-punk revival,New wave,4,Estadounidense,Sí,Coca Cola Zero Stage,1
2011,Jane's Addiction,Rock,Hard Rock,Punk Rock,4,Estadounidense,Sí,Claro Stage,1
2011,Kanye West,Hip Hop,Rap,Pop,1,Estadounidense,Sí,Coca Cola Zero Stage,1
2011,Cypress Hill,Rap ,Hip Hop,Rap Rock,4,Estadounidense,No,Claro Stage,1
2011,30 Secons To Mars,Rock,Rock alternativo,Metal progresivo,4,Estadounidense,No,Coca Cola Zero Stage,1
2011,Fatboy Slim,Electrónica,Dance,Pop,1,Británica,No,LG Stage,1
2011,Deftones,Metal Alternativo,Rock progresivo,Nu metal,5,Estadounidense,No,Claro Stage,1
2011,Armin Van Buuren,Dance,Trance ,House progresivo,1,Países Bajos,No,LG Stage,1
2011,Sublime With Rome,Reggae,Ska Punk,Hip Hop ,3,Estadounidense,No,Claro Stage,1
2011,The Flaming Lips,Rock ,Rock alternativo,Rock Psicodélico,5,Estadounidense,No,Coca Cola Zero Stage,1
2011,Ben Harper ,Blues,Soul ,R&B,1,Estadounidense,No,Claro Stage,1
2011,James ,Rock ,Indie Pop,Britpop,7,Británica,No,Coca Cola Zero Stage,1
2011,The National,Alternativo,Indie Rock,Chamber pop,5,Estadounidense,No,Coca Cola Zero Stage,1
2011,311,Rock ,Rap Rock,Funk Metal,5,Estadounidense,No,Coca Cola Zero Stage,1
2011,Empire Of The Sun,Electrónica,Synth pop,New wave,2,Australiana,No,LG Stage,1
2011,Cold War Kids,Indie Rock,Blues Rock,Soul Rock,5,Estadounidense,No,Tech Stage,1
2011,CSS,Dance ,Dance punk ,Indie Rock,5,Brasileña,No,Tech Stage,1
2011,Cat Power,Folk Alternativo,Experimental ,Indie Folk,1,Estadounidense,No,Tech Stage,1
2011,Los Bunkers ,Rock alternativo,Pop rock,NA,5,Chilena,No,Coca Cola Zero Stage,1
2011,Chico Trujillo,Cumbia,Reggae,NA,10,Chilena,No,Claro Stage,1
2011,Devendra Banhart,Folk Alternativo,Independiente,NA,1,Estadounidense,No,Tech Stage,1
2011,Boys Noize,Electrónica,Dance ,French Indie,1,Alemana,No,LG Stage,1
2011,The Drums,Indie Rock,Indie pop,Synth pop,2,Estadounidense,No,Tech Stage,1
2011,Steel Pulse ,Reggae,NA ,NA,9,Británica,No,Claro Stage,1
2011,Fischerspooner,Dance ,Electrónica,NA,2,Estadounidense,No,LG Stage,1
2011,PerryEtty vs Chris Cox,Rock ,NA ,NA,3,Estadounidense,No,LG Stage,1
2011,Datarock,Rock ,Alternativo,Independiente,4,Noruega,No,Tech Stage,1
2011,Edward Sharpe,Rock ,Gospel,Folk Rock,12,Estadounidense,No,Tech Stage,1
2011,Mala Rodriguez ,Rap ,Hip Hop,Flamenco,1,Española,No,Coca Cola Zero Stage,1
2011,Todos Tus Muertos,Reggae,Rock argentino,NA,4,Argentina,No,Claro Stage,1
